<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.BR,D,20150105,000000,57.0500000,57.0500000,52.7000000,52.9500000,42578
SPFB.BR,D,20150106,000000,52.9200000,52.9200000,50.4200000,50.9100000,46554
SPFB.BR,D,20150108,000000,51.0600000,52.9400000,49.9700000,51.1500000,49538
SPFB.BR,D,20150109,000000,51.3100000,51.6500000,48.8100000,49.9600000,43105
SPFB.BR,D,20150112,000000,50.5200000,50.5800000,48.4900000,48.7000000,5223
SPFB.BR,D,20150113,000000,48.5000000,48.5000000,46.5500000,48.4400000,23011
SPFB.BR,D,20150114,000000,47.7100000,50.3100000,46.7900000,49.4600000,32337
SPFB.BR,D,20150115,000000,49.2100000,52.0000000,48.0600000,48.1200000,114550
SPFB.BR,D,20150116,000000,48.3500000,50.5000000,48.2400000,49.9500000,112747
SPFB.BR,D,20150119,000000,49.9500000,50.4000000,48.5500000,48.8700000,67466
SPFB.BR,D,20150120,000000,48.8300000,49.4700000,47.8200000,48.2000000,114808
SPFB.BR,D,20150121,000000,48.2200000,49.5700000,48.2200000,48.9300000,146110
SPFB.BR,D,20150122,000000,48.9900000,50.4800000,48.0600000,48.9600000,178878
SPFB.BR,D,20150123,000000,49.0300000,49.7800000,48.6000000,48.6200000,117848
SPFB.BR,D,20150126,000000,48.6100000,49.2400000,47.5700000,48.1600000,171943
SPFB.BR,D,20150127,000000,48.1300000,49.9500000,47.7000000,49.1800000,161180
SPFB.BR,D,20150128,000000,49.1000000,49.7000000,48.3100000,48.4200000,155379
SPFB.BR,D,20150129,000000,48.4600000,49.2300000,48.3400000,49.1100000,162731
SPFB.BR,D,20150130,000000,49.0400000,51.5700000,48.8000000,51.5700000,199424
SPFB.BR,D,20150202,000000,51.5700000,55.0000000,51.4200000,54.8500000,256234
SPFB.BR,D,20150203,000000,54.9000000,58.9600000,54.9000000,57.9000000,313685
SPFB.BR,D,20150204,000000,57.8700000,57.9100000,53.5100000,54.6700000,295779
SPFB.BR,D,20150205,000000,54.6000000,57.8400000,53.2300000,56.8500000,362707
SPFB.BR,D,20150206,000000,56.8500000,59.0500000,56.8500000,58.0200000,319499
SPFB.BR,D,20150209,000000,58.0800000,60.5200000,57.3600000,58.1500000,186377
SPFB.BR,D,20150210,000000,59.0500000,59.5500000,57.1400000,58.0400000,43497
SPFB.BR,D,20150211,000000,57.7200000,58.1400000,55.1500000,56.1800000,56949
SPFB.BR,D,20150212,000000,56.2700000,59.8500000,56.2700000,59.2500000,100000
