<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.CL,D,20180425,000000,67.3500000,68.0000000,63.7000000,67.8300000,1417
SPFB.CL,D,20180426,000000,68.1800000,68.7500000,67.8700000,68.1500000,907
SPFB.CL,D,20180427,000000,67.9900000,68.3700000,67.7700000,68.0000000,2869
SPFB.CL,D,20180428,000000,68.0000000,68.0000000,67.7500000,67.7500000,20
SPFB.CL,D,20180430,000000,67.1000000,68.7600000,66.4200000,68.7600000,209
SPFB.CL,D,20180502,000000,67.8400000,68.6800000,66.5700000,67.7200000,571
SPFB.CL,D,20180503,000000,67.9400000,68.3000000,67.4500000,68.3000000,1308
SPFB.CL,D,20180504,000000,68.8100000,69.8600000,68.5400000,69.8600000,597
SPFB.CL,D,20180507,000000,70.3200000,70.8000000,69.6000000,70.0700000,338
SPFB.CL,D,20180508,000000,69.8500000,70.1500000,67.6700000,70.0100000,142
SPFB.CL,D,20180510,000000,70.9500000,70.9500000,70.9500000,70.9500000,1
SPFB.CL,D,20180511,000000,71.2800000,71.4200000,70.5100000,70.5100000,17
SPFB.CL,D,20180514,000000,70.3300000,71.2400000,70.3300000,71.1600000,64
SPFB.CL,D,20180515,000000,71.0100000,71.4500000,70.7700000,70.7700000,75
SPFB.CL,D,20180516,000000,71.1500000,71.5100000,70.8700000,71.5100000,864
SPFB.CL,D,20180517,000000,71.9600000,72.2700000,71.8100000,71.8100000,813
SPFB.CL,D,20180518,000000,71.7600000,71.7600000,71.4000000,71.4000000,635
SPFB.CL,D,20180521,000000,71.6800000,72.5500000,71.3100000,72.5500000,401
SPFB.CL,D,20180522,000000,72.5500000,72.7900000,72.0700000,72.0700000,873
SPFB.CL,D,20180523,000000,71.7700000,72.0200000,71.3000000,71.8200000,457
SPFB.CL,D,20180524,000000,71.6000000,71.6300000,70.5700000,70.8200000,405
SPFB.CL,D,20180525,000000,70.4200000,70.4200000,67.5800000,67.6500000,1494
SPFB.CL,D,20180528,000000,67.5200000,67.5200000,66.3200000,66.6000000,306
SPFB.CL,D,20180529,000000,66.7000000,67.2800000,65.9300000,66.7700000,1685
SPFB.CL,D,20180530,000000,66.7100000,68.5000000,66.6500000,68.2700000,508
SPFB.CL,D,20180531,000000,68.2200000,68.2200000,66.6400000,67.0400000,2373
SPFB.CL,D,20180601,000000,67.0600000,67.3200000,65.5500000,65.7900000,4967
SPFB.CL,D,20180604,000000,65.8200000,65.9900000,64.6200000,64.8500000,2436
SPFB.CL,D,20180605,000000,65.1100000,65.5400000,64.2300000,65.5400000,2690
SPFB.CL,D,20180606,000000,65.7600000,65.8000000,64.3600000,65.0400000,2590
SPFB.CL,D,20180607,000000,65.0000000,66.0200000,64.8800000,65.9600000,2254
SPFB.CL,D,20180608,000000,65.5900000,66.2000000,65.2100000,65.6300000,910
SPFB.CL,D,20180609,000000,65.6100000,65.8000000,65.6100000,65.8000000,4
SPFB.CL,D,20180611,000000,65.4500000,66.2000000,64.9800000,66.2000000,1123
SPFB.CL,D,20180613,000000,65.7800000,66.7100000,63.9400000,66.5600000,579
SPFB.CL,D,20180614,000000,66.5400000,66.9600000,66.3600000,66.7500000,671
SPFB.CL,D,20180615,000000,66.5800000,66.7600000,64.1900000,64.1900000,931
SPFB.CL,D,20180618,000000,64.0200000,65.8000000,63.9300000,65.7300000,445
SPFB.CL,D,20180619,000000,65.0800000,65.2500000,64.2200000,64.8800000,634
SPFB.CL,D,20180620,000000,65.2900000,66.2400000,64.8500000,65.4900000,1161
SPFB.CL,D,20180621,000000,65.3300000,66.1500000,64.3800000,65.7700000,1749
SPFB.CL,D,20180622,000000,66.0700000,69.3200000,66.0700000,69.2600000,4926
SPFB.CL,D,20180625,000000,69.0000000,69.3400000,67.8200000,68.0200000,11120
SPFB.CL,D,20180626,000000,68.4400000,70.8700000,67.8000000,70.8600000,7094
SPFB.CL,D,20180627,000000,70.8200000,73.0000000,70.5900000,72.2500000,7855
SPFB.CL,D,20180628,000000,72.3400000,73.9900000,72.3000000,73.2100000,7007
SPFB.CL,D,20180629,000000,73.2500000,74.4000000,73.1000000,74.2500000,6061
SPFB.CL,D,20180702,000000,73.7400000,74.3200000,73.4600000,74.0200000,4283
SPFB.CL,D,20180703,000000,74.7100000,75.2000000,72.7800000,74.3400000,17036
SPFB.CL,D,20180704,000000,74.2200000,74.3700000,73.5500000,74.2000000,7083
SPFB.CL,D,20180705,000000,74.1300000,74.8400000,72.6000000,73.1500000,7279
SPFB.CL,D,20180706,000000,73.1200000,73.9700000,72.2000000,73.8900000,5928
SPFB.CL,D,20180709,000000,74.0000000,74.2400000,73.0000000,74.0000000,7068
SPFB.CL,D,20180710,000000,72.3800000,72.7800000,72.3000000,72.5600000,210
SPFB.CL,D,20180711,000000,72.1600000,72.1600000,68.8000000,69.1000000,303
SPFB.CL,D,20180712,000000,69.4500000,69.7600000,68.0600000,69.0200000,1233
SPFB.CL,D,20180713,000000,69.2000000,70.4200000,68.7600000,69.6200000,776
