<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.LKOH,D,20150105,000000,22910.0000000,23749.0000000,22650.0000000,23415.0000000,23500
SPFB.LKOH,D,20150106,000000,23431.0000000,24247.0000000,23426.0000000,24054.0000000,27448
SPFB.LKOH,D,20150108,000000,24089.0000000,26362.0000000,24089.0000000,26023.0000000,36456
SPFB.LKOH,D,20150109,000000,26047.0000000,26233.0000000,25045.0000000,25384.0000000,31512
SPFB.LKOH,D,20150112,000000,25301.0000000,25899.0000000,24874.0000000,25403.0000000,23094
SPFB.LKOH,D,20150113,000000,25349.0000000,26073.0000000,25144.0000000,25887.0000000,34023
SPFB.LKOH,D,20150114,000000,25810.0000000,26749.0000000,25591.0000000,26582.0000000,28821
SPFB.LKOH,D,20150115,000000,26563.0000000,26994.0000000,26229.0000000,26627.0000000,48840
SPFB.LKOH,D,20150116,000000,26621.0000000,27999.0000000,26467.0000000,27933.0000000,35665
SPFB.LKOH,D,20150119,000000,27938.0000000,28805.0000000,26823.0000000,26941.0000000,60177
SPFB.LKOH,D,20150120,000000,27025.0000000,27333.0000000,26506.0000000,26908.0000000,43185
SPFB.LKOH,D,20150121,000000,26855.0000000,28197.0000000,26713.0000000,28021.0000000,42880
SPFB.LKOH,D,20150122,000000,28082.0000000,29893.0000000,27993.0000000,28878.0000000,72299
SPFB.LKOH,D,20150123,000000,28916.0000000,29897.0000000,28870.0000000,28914.0000000,66568
SPFB.LKOH,D,20150126,000000,28900.0000000,29395.0000000,28070.0000000,29045.0000000,58104
SPFB.LKOH,D,20150127,000000,28939.0000000,30022.0000000,28802.0000000,29857.0000000,46640
SPFB.LKOH,D,20150128,000000,29942.0000000,30500.0000000,29026.0000000,29143.0000000,53054
SPFB.LKOH,D,20150129,000000,29139.0000000,29697.0000000,28844.0000000,29265.0000000,52094
SPFB.LKOH,D,20150130,000000,29296.0000000,29350.0000000,28056.0000000,28301.0000000,60194
SPFB.LKOH,D,20150202,000000,28394.0000000,28633.0000000,27429.0000000,28137.0000000,94162
SPFB.LKOH,D,20150203,000000,28127.0000000,29430.0000000,28016.0000000,29026.0000000,72954
SPFB.LKOH,D,20150204,000000,29100.0000000,29736.0000000,28817.0000000,29432.0000000,62304
SPFB.LKOH,D,20150205,000000,29511.0000000,30717.0000000,29277.0000000,30275.0000000,82986
SPFB.LKOH,D,20150206,000000,30339.0000000,31970.0000000,30262.0000000,31949.0000000,108219
SPFB.LKOH,D,20150209,000000,31848.0000000,33426.0000000,30505.0000000,30623.0000000,110444
SPFB.LKOH,D,20150210,000000,30570.0000000,30995.0000000,30002.0000000,30908.0000000,54140
SPFB.LKOH,D,20150211,000000,30853.0000000,31752.0000000,30622.0000000,31268.0000000,60265
SPFB.LKOH,D,20150212,000000,31515.0000000,32432.0000000,30666.0000000,32231.0000000,121930
SPFB.LKOH,D,20150213,000000,32170.0000000,32382.0000000,31408.0000000,31627.0000000,46425
SPFB.LKOH,D,20150216,000000,31659.0000000,31747.0000000,30301.0000000,30456.0000000,43148
SPFB.LKOH,D,20150217,000000,30504.0000000,31284.0000000,30251.0000000,30677.0000000,55043
SPFB.LKOH,D,20150218,000000,30644.0000000,31053.0000000,30188.0000000,30385.0000000,53606
SPFB.LKOH,D,20150219,000000,30387.0000000,30553.0000000,29474.0000000,30253.0000000,48711
SPFB.LKOH,D,20150220,000000,30373.0000000,30485.0000000,29767.0000000,30310.0000000,39735
SPFB.LKOH,D,20150224,000000,30225.0000000,30449.0000000,29596.0000000,30072.0000000,42695
SPFB.LKOH,D,20150225,000000,30121.0000000,30246.0000000,29316.0000000,29607.0000000,33018
SPFB.LKOH,D,20150226,000000,29698.0000000,29886.0000000,29151.0000000,29340.0000000,39473
SPFB.LKOH,D,20150227,000000,29340.0000000,30321.0000000,29263.0000000,30206.0000000,48232
SPFB.LKOH,D,20150302,000000,30195.0000000,30637.0000000,29933.0000000,30274.0000000,37569
SPFB.LKOH,D,20150303,000000,30311.0000000,31156.0000000,30041.0000000,30276.0000000,50960
SPFB.LKOH,D,20150304,000000,30263.0000000,30540.0000000,29540.0000000,29800.0000000,54452
SPFB.LKOH,D,20150305,000000,29811.0000000,29929.0000000,29110.0000000,29284.0000000,63140
SPFB.LKOH,D,20150306,000000,29330.0000000,29376.0000000,27929.0000000,28055.0000000,45714
SPFB.LKOH,D,20150310,000000,28751.0000000,28751.0000000,27824.0000000,27915.0000000,1990
SPFB.LKOH,D,20150311,000000,28100.0000000,28666.0000000,27833.0000000,28147.0000000,1663
SPFB.LKOH,D,20150312,000000,28250.0000000,28427.0000000,27912.0000000,28015.0000000,3193
SPFB.LKOH,D,20150313,000000,28109.0000000,28390.0000000,27300.0000000,27343.0000000,9385
SPFB.LKOH,D,20150316,000000,27369.0000000,28058.0000000,27114.0000000,27699.0000000,58322
SPFB.LKOH,D,20150317,000000,27683.0000000,27984.0000000,27543.0000000,27937.0000000,37286
